"en","woeid","zh","prov","long","lat","low","high","code","humidity","visibility","pressure","rising"
"beijing",2151330,"北京","北京市",116.4666667,39.9,"66","82","21","66","3.11","29.47","0"
"shanghai",2151849,"上海","上海市",121.4833333,31.23333333,"80","97","34","50","6.21","29.68","0"
"tianjin",2159908,"天津","天津市",117.1833333,39.15,"68","82","11","84","1.74","29.56","0"
"chongqing",20070171,"重慶","重慶市",106.5333333,29.53333333,"74","96","30","40",NA,NA,"0"
"harbin",2141166,"哈爾濱","黑龍江省",126.6833333,45.75,"68","86","34","51","6.21","29.41","2"
"changchun",2137321,"長春","吉林省",125.3166667,43.86666667,"70","89","30","38","6.21","29.5","2"
"shenyang",2148332,"瀋陽","遼寧省",123.4,41.83333333,"71","87","30","79","4.97","29.53","0"
"hohhot",2149760,"呼和浩特","內蒙古自治區",111.8,40.81666667,"54","78","34","44","6.21","29.77","2"
"shijiazhuang",2171287,"石家莊","河北省",114.4666667,38.03333333,"65","76","11","100","3.11","29.62","1"
"wulumuqi",26198317,"烏魯木齊","新疆維吾爾自治區",87.6,43.8,"75","95","34","20","6.21","29.77","2"
"lanzhou",2145605,"蘭州","甘肅省",103.8166667,36.05,"52","71","26","57",NA,"23.92","0"
"xining",2138941,"西寧","青海省",101.75,36.63333333,"53","73","11","83","8.08","22.75","0"
"xian",2157249,"西安","陝西省",108.9,34.26666667,"69","89","28","67","9.32",NA,"0"
"yinchuan",2150551,"銀川","寧夏回族自治區",106.2666667,38.33333333,"63","82","28","53","9.32","26.13","0"
"zhengzhou",2172736,"鄭州","河南省",113.7,34.8,"71","94","30","63","6.21","29.47","0"
"jinan",2168327,"濟南","山東省",117,36.63333333,"68","89","28","66",NA,"28.96","0"
"taiyuan",2154547,"太原","山西省",112.5666667,37.86666667,"61","71","11","83","6.21","29.74","0"
"hefei",2127866,"合肥","安徽省",117.3,31.85,"78","97","34","53","6.21","29.62","0"
"wuhan",2163866,"武漢","湖北省",114.35,30.61666667,"82","96","34","44","6.21","29.62","2"
"changsha",26198213,"長沙","湖南省",113,28.18333333,"77","95","28","41","6.21","29.68","2"
"nanjing",2137081,"南京","江蘇省",118.8333333,32.03333333,"78","97","34","47","6.21","29.65","0"
"chengdu",2158433,"成都","四川省",104.0833333,30.65,"74","94","30","49","6.21","29.59","0"
"guiyang",2146703,"貴陽","貴州省",106.7,26.58333333,"65","82","30","58","6.21","29.88","2"
"kunming",2160693,"昆明","雲南省",102.6833333,25,"57","70","28","64","6.21","30.06","2"
"nanning",2166473,"南寧","廣西壯族自治區",108.3333333,22.8,"73","79","11","94","6.21","29.83","0"
"lasa",26198235,"拉薩","西藏自治區",91.16666667,29.66666667,"49","80","30","26",NA,"19.32","0"
"hangzhou",2132574,"杭州","浙江省",120.15,30.23333333,"81","101","28","37","6.21","29.68","0"
"nanchang",26198151,"南昌","江西省",115.8666667,28.68333333,"77","96","32","47",NA,"29.59","0"
"guangzhou",2161838,"廣州","廣東省",113.25,23.13333333,"78","92","30","52","6.21","29.77","0"
"fuzhou",2139963,"福州","福建省",119.3,26.08333333,"75","91","34","66","6.21","29.77","2"
"taipei",2306179,"臺北","臺灣省",121.5166667,25.05,"79","93","30","49","6.21","29.8","0"
"haikou",2162779,"海口","海南省",110.3333333,20.03333333,"71","84","30","79","6.21","29.77","0"
"hongkong",24865698,"香港","香港特別行政區",114.1666667,22.3,"78","89","30","59","6.21","29.8","0"
